price,area_sqft,location,bhk,is_resale,amenity_gym,lift,parking,amenity_maintenance,amenity_security,amenity_kids_play,amenity_clubhouse,amenity_intercom,amenity_gardens,amenity_indoor_games,amenity_gas,amenity_jogging,amenity_pool,price_per_sqft,amenity_count
13500000,1500,kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1,9000.0,7
22500000,1850,kharghar,3,0,1,1,1,1,1,1,1,1,1,0,0,1,1,12162.162162162162,9
40000000,2100,kharghar,4,0,1,1,1,1,1,1,1,1,0,0,0,0,1,19047.619047619046,7
5700000,610,kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,9344.262295081968,9
4800000,655,kharghar,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,7328.244274809161,2
4500000,660,kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,6818.181818181818,2
4300000,650,kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,6615.384615384615,2
4500000,680,kharghar,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,6617.64705882353,6
5300000,670,kharghar,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,7910.44776119403,7
4803000,655,kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,7332.824427480916,2
13000000,1800,kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1,7222.222222222223,7
15500000,1645,kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1,9422.492401215806,7
13000000,1395,kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1,9318.996415770609,8
8500000,1150,kharghar,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1,7391.304347826087,8
9400000,1200,kharghar,2,0,1,1,1,1,1,1,1,0,1,0,0,1,1,7833.333333333333,8
4500000,615,kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,7317.073170731707,2
5300000,670,kharghar,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,7910.44776119403,9
6000000,765,kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,7843.137254901961,9
5600000,650,kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,8615.384615384615,8
17500000,1760,kharghar,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1,9943.181818181818,7
12000000,1415,kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,8480.565371024735,10
15000000,1685,kharghar,3,0,1,1,1,1,1,1,1,0,1,1,1,1,1,8902.077151335312,10
13000000,1800,kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1,7222.222222222223,8
16600000,1650,kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1,10060.60606060606,7
13000000,1395,kharghar,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1,9318.996415770609,7
9400000,1200,kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1,7833.333333333333,9
5700000,650,kharghar,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,8769.23076923077,5
5500000,560,kharghar,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,9821.42857142857,5
6000000,765,kharghar,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,7843.137254901961,10
5600000,650,kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,8615.384615384615,9
4900000,655,kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,7480.916030534351,2
13500000,1390,kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1,9712.230215827338,8
22000000,1590,kharghar,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,13836.477987421384,11
17500000,1760,kharghar,3,0,1,1,1,1,1,1,1,0,0,0,1,1,1,9943.181818181818,8
